model,optimizer,n_features,hidden,dropout,lr,weight_decay,best_val_mse,test_rmse
(64-32-16-8)_0.2,adam_lr1e-3_wd1e-4,11,"(64, 32, 16, 8)",0.2,0.001,0.0001,0.5013592807870162,0.7144925673024473
(64-32)_0.1,adam_lr5e-4_wd0,11,"(64, 32)",0.1,0.0005,0.0,0.501441216259672,0.6924208305159422
(64-32-16)_0.2,adam_lr1e-3_wd1e-4,11,"(64, 32, 16)",0.2,0.001,0.0001,0.5020467649426377,0.6771078089157059
(32-16)_0.2,adam_lr2e-3_wd1e-4,7,"(32, 16)",0.2,0.002,0.0001,0.5022301621604384,0.7030125433143527
(64-32)_0.4,adam_lr2e-3_wd1e-5,7,"(64, 32)",0.4,0.002,1e-05,0.5034980836667513,0.7023704667260282
(64-32-16-8)_0.2,adam_lr1e-3_wd1e-3,11,"(64, 32, 16, 8)",0.2,0.001,0.001,0.5037605668369093,0.7545450156934632
(64-32)_0.4,adam_lr1e-3_wd1e-4,11,"(64, 32)",0.4,0.001,0.0001,0.5046894644436083,0.7196251140635619
(64-32)_0.2,adam_lr5e-4_wd1e-3,7,"(64, 32)",0.2,0.0005,0.001,0.5049486212563097,0.7128505293366474
(128-64)_0.4,adam_lr5e-4_wd1e-4,7,"(128, 64)",0.4,0.0005,0.0001,0.5051287203504328,0.6999390167570712
(64-32-16-8)_0.1,adam_lr1e-3_wd1e-5,7,"(64, 32, 16, 8)",0.1,0.001,1e-05,0.5054746301550614,0.7456861904606392
(128-64)_0.4,adam_lr5e-4_wd1e-3,7,"(128, 64)",0.4,0.0005,0.001,0.5057205955187479,0.6904872036356396
(64-32-16-8)_0.1,adam_lr5e-4_wd1e-3,7,"(64, 32, 16, 8)",0.1,0.0005,0.001,0.5060135586219922,0.6997022441988571
(64-32-16-8)_0.1,adam_lr5e-4_wd1e-5,7,"(64, 32, 16, 8)",0.1,0.0005,1e-05,0.5067090590794882,0.7055535838840246
(64-32-16)_0.2,adam_lr1e-3_wd0,7,"(64, 32, 16)",0.2,0.001,0.0,0.5067450749246698,0.6785074797116557
(64-32-16-8)_0.2,adam_lr1e-3_wd1e-4,7,"(64, 32, 16, 8)",0.2,0.001,0.0001,0.5077435259233442,0.7178329404297021
(32-16)_0.1,adam_lr1e-3_wd1e-3,7,"(32, 16)",0.1,0.001,0.001,0.5082400315686276,0.7208521858147426
(64-32-16)_0.2,adam_lr5e-4_wd1e-4,11,"(64, 32, 16)",0.2,0.0005,0.0001,0.5085671659101519,0.7168149514026686
